id,name,imageLink
1,Personal Development,https://hellamamathings.com/wp-content/uploads/2022/03/Personal-Development.png
2,Novel,https://reactormag.com/wp-content/uploads/2022/02/new-fantasy-Feb-2022.png
3,Asian literature,https://i.pinimg.com/736x/b3/ed/25/b3ed253b009011283dfe923c8e286728.jpg
4,Psychology,https://images.squarespace-cdn.com/content/v1/507b2f30e4b066e116488db6/1384396256094-II94OGKE6FYMPGM5XDR4/Essential-psychology-books-reading.jpg
5,Sociology,https://sunypress.edu/var/site/storage/images/media/images/asa.23/7211383-1-eng-CA/ASA.23.jpg
6,Novella(long story),"https://hips.hearstapps.com/hmg-prod/images/hero-2000x1000-6539883aef48f.jpg?crop=1.00xw:1.00xh;0,0&resize=640:*"
7,Short story,https://miro.medium.com/v2/resize:fit:1400/1*MXyMqcEJ6Se0SCWcYCKZTQ.jpeg
8,philosophy,https://miro.medium.com/v2/resize:fit:1400/1*MXyMqcEJ6Se0SCWcYCKZTQ.jpeg
